loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date
CUS_0x100b_2024_03_01,CUS_0x100b,2024-03-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2024-07-01
CUS_0x1011_2023_11_01,CUS_0x1011,2023-11-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-07-01
CUS_0x1013_2023_12_01,CUS_0x1013,2023-12-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-07-01
CUS_0x1018_2023_11_01,CUS_0x1018,2023-11-01,10,8,10000,1000.0,0.0,5000.0,7000.0,2024-07-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2024-07-01
CUS_0x102d_2024_01_01,CUS_0x102d,2024-01-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2024-07-01
CUS_0x102e_2024_04_01,CUS_0x102e,2024-04-01,10,3,10000,1000.0,0.0,1000.0,8000.0,2024-07-01
CUS_0x1041_2023_11_01,CUS_0x1041,2023-11-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-07-01
CUS_0x1048_2024_02_01,CUS_0x1048,2024-02-01,10,5,10000,1000.0,0.0,4000.0,9000.0,2024-07-01
CUS_0x104a_2023_12_01,CUS_0x104a,2023-12-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-07-01
CUS_0x1051_2024_01_01,CUS_0x1051,2024-01-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2024-07-01
CUS_0x1057_2023_09_01,CUS_0x1057,2023-09-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-07-01
CUS_0x105b_2023_11_01,CUS_0x105b,2023-11-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-07-01
CUS_0x1063_2023_12_01,CUS_0x1063,2023-12-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-07-01
CUS_0x1075_2024_05_01,CUS_0x1075,2024-05-01,10,2,10000,1000.0,2000.0,0.0,8000.0,2024-07-01
CUS_0x107c_2023_11_01,CUS_0x107c,2023-11-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-07-01
CUS_0x1096_2024_03_01,CUS_0x1096,2024-03-01,10,4,10000,1000.0,0.0,1000.0,7000.0,2024-07-01
CUS_0x109b_2023_10_01,CUS_0x109b,2023-10-01,10,9,10000,1000.0,0.0,8000.0,9000.0,2024-07-01
CUS_0x109d_2024_04_01,CUS_0x109d,2024-04-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-07-01
CUS_0x10c0_2024_02_01,CUS_0x10c0,2024-02-01,10,5,10000,1000.0,0.0,5000.0,10000.0,2024-07-01
CUS_0x10d7_2023_12_01,CUS_0x10d7,2023-12-01,10,7,10000,1000.0,0.0,4000.0,7000.0,2024-07-01
CUS_0x10dd_2024_06_01,CUS_0x10dd,2024-06-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2024-07-01
CUS_0x10fd_2023_12_01,CUS_0x10fd,2023-12-01,10,7,10000,1000.0,0.0,4000.0,7000.0,2024-07-01
CUS_0x10ff_2023_10_01,CUS_0x10ff,2023-10-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2024-07-01
CUS_0x1100_2023_10_01,CUS_0x1100,2023-10-01,10,9,10000,1000.0,0.0,5000.0,6000.0,2024-07-01
CUS_0x1107_2023_11_01,CUS_0x1107,2023-11-01,10,8,10000,1000.0,0.0,8000.0,10000.0,2024-07-01
CUS_0x1108_2024_07_01,CUS_0x1108,2024-07-01,10,0,10000,0.0,0.0,0.0,10000.0,2024-07-01
CUS_0x1109_2024_06_01,CUS_0x1109,2024-06-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2024-07-01
CUS_0x111c_2024_03_01,CUS_0x111c,2024-03-01,10,4,10000,1000.0,0.0,2000.0,8000.0,2024-07-01
CUS_0x112d_2024_03_01,CUS_0x112d,2024-03-01,10,4,10000,1000.0,2000.0,0.0,6000.0,2024-07-01
CUS_0x112e_2024_04_01,CUS_0x112e,2024-04-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-07-01
CUS_0x112f_2023_10_01,CUS_0x112f,2023-10-01,10,9,10000,1000.0,0.0,6000.0,7000.0,2024-07-01
CUS_0x1134_2023_10_01,CUS_0x1134,2023-10-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2024-07-01
CUS_0x1139_2023_12_01,CUS_0x1139,2023-12-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-07-01
CUS_0x115c_2024_02_01,CUS_0x115c,2024-02-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2024-07-01
CUS_0x1168_2023_10_01,CUS_0x1168,2023-10-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2024-07-01
CUS_0x1169_2023_09_01,CUS_0x1169,2023-09-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-07-01
CUS_0x117d_2023_09_01,CUS_0x117d,2023-09-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-07-01
CUS_0x117f_2023_11_01,CUS_0x117f,2023-11-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2024-07-01
CUS_0x1182_2023_09_01,CUS_0x1182,2023-09-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-07-01
CUS_0x1183_2024_04_01,CUS_0x1183,2024-04-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-07-01
CUS_0x1185_2024_05_01,CUS_0x1185,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x1190_2024_05_01,CUS_0x1190,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x11a4_2023_11_01,CUS_0x11a4,2023-11-01,10,8,10000,1000.0,0.0,6000.0,8000.0,2024-07-01
CUS_0x11c6_2023_09_01,CUS_0x11c6,2023-09-01,10,10,10000,1000.0,1000.0,0.0,0.0,2024-07-01
CUS_0x1204_2024_03_01,CUS_0x1204,2024-03-01,10,4,10000,1000.0,2000.0,0.0,6000.0,2024-07-01
CUS_0x1207_2023_12_01,CUS_0x1207,2023-12-01,10,7,10000,1000.0,0.0,4000.0,7000.0,2024-07-01
CUS_0x1220_2024_04_01,CUS_0x1220,2024-04-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-07-01
CUS_0x1226_2024_04_01,CUS_0x1226,2024-04-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2024-07-01
CUS_0x122f_2024_05_01,CUS_0x122f,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x1233_2024_05_01,CUS_0x1233,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x1236_2024_05_01,CUS_0x1236,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x123d_2023_11_01,CUS_0x123d,2023-11-01,10,8,10000,1000.0,0.0,6000.0,8000.0,2024-07-01
CUS_0x1246_2023_09_01,CUS_0x1246,2023-09-01,10,10,10000,1000.0,0.0,7000.0,7000.0,2024-07-01
CUS_0x1249_2024_05_01,CUS_0x1249,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x1250_2023_12_01,CUS_0x1250,2023-12-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2024-07-01
CUS_0x125c_2024_05_01,CUS_0x125c,2024-05-01,10,2,10000,1000.0,0.0,1000.0,9000.0,2024-07-01
CUS_0x1269_2024_01_01,CUS_0x1269,2024-01-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2024-07-01
CUS_0x1281_2023_11_01,CUS_0x1281,2023-11-01,10,8,10000,1000.0,0.0,5000.0,7000.0,2024-07-01
CUS_0x1286_2024_06_01,CUS_0x1286,2024-06-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2024-07-01
CUS_0x128f_2024_05_01,CUS_0x128f,2024-05-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2024-07-01
CUS_0x1290_2024_01_01,CUS_0x1290,2024-01-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2024-07-01
CUS_0x12a8_2024_06_01,CUS_0x12a8,2024-06-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2024-07-01
CUS_0x12af_2024_03_01,CUS_0x12af,2024-03-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2024-07-01
CUS_0x12b6_2024_02_01,CUS_0x12b6,2024-02-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2024-07-01
CUS_0x12b8_2024_02_01,CUS_0x12b8,2024-02-01,10,5,10000,1000.0,0.0,4000.0,9000.0,2024-07-01
